gameid,year,round,date,hometeam,awayteam,hometeamscoreft,awayteamscoreft,venue,attendance,maxtemp,mintemp,rainfall
2017R0409,2017,R4,2017-04-17,Hawthorn,Geelong,6.12,20.14,M.C.G.,62360.0,18.4,11.9,0.0
2017R0501,2017,R5,2017-04-21,Port Adelaide,Carlton,20.17,6.11,Adelaide Oval,43120.0,21.8,18.3,12.4
2017R0502,2017,R5,2017-04-22,Western Bulldogs,Brisbane Lions,17.2,14.6,Docklands,31822.0,21.9,15.9,5.5
2017R0503,2017,R5,2017-04-22,Gold Coast,Adelaide,13.8,23.15,Carrara,12672.0,25.0,17.6,16.8
2017R0504,2017,R5,2017-04-22,Sydney,Greater Western Sydney,9.9,15.15,S.C.G.,34824.0,25.9,18.2,0.0
2017R0505,2017,R5,2017-04-22,Fremantle,North Melbourne,9.13,9.8,Subiaco,33319.0,28.6,15.3,0.0
2017R0506,2017,R5,2017-04-23,St Kilda,Geelong,13.1,19.12,Docklands,33884.0,22.3,13.5,5.4
2017R0507,2017,R5,2017-04-23,Hawthorn,West Coast,19.11,11.9,M.C.G.,28997.0,22.3,13.5,5.4
2017R0508,2017,R5,2017-04-24,Richmond,Melbourne,12.16,11.9,M.C.G.,85657.0,23.6,15.4,0.4
2017R0509,2017,R5,2017-04-25,Essendon,Collingwood,15.1,11.16,M.C.G.,87685.0,18.3,15.6,27.8
2017R0601,2017,R6,2017-04-28,Greater Western Sydney,Western Bulldogs,11.9,9.19,Manuka Oval,14048.0,16.5,-1.8,0.0
2017R0602,2017,R6,2017-04-29,Hawthorn,St Kilda,8.7,19.16,York Park,15571.0,20.9,7.0,0.0
2017R0603,2017,R6,2017-04-29,Carlton,Sydney,15.7,11.12,M.C.G.,32678.0,19.1,13.6,0.0
2017R0604,2017,R6,2017-04-29,Brisbane Lions,Port Adelaide,10.7,22.18,Gabba,13638.0,26.3,15.3,0.0
2017R0605,2017,R6,2017-04-29,North Melbourne,Gold Coast,16.11,14.1,Docklands,15431.0,19.1,13.6,0.0
2017R0606,2017,R6,2017-04-29,West Coast,Fremantle,16.7,9.8,Subiaco,40836.0,27.6,8.7,0.0
2017R0607,2017,R6,2017-04-30,Essendon,Melbourne,10.14,17.1,Docklands,44040.0,17.5,12.5,0.0
2017R0608,2017,R6,2017-04-30,Geelong,Collingwood,11.12,15.17,M.C.G.,46457.0,17.5,12.5,0.0
2017R0609,2017,R6,2017-04-30,Adelaide,Richmond,21.14,10.4,Adelaide Oval,51069.0,19.0,15.1,0.0
2017R0701,2017,R7,2017-05-05,St Kilda,Greater Western Sydney,16.12,12.13,Docklands,21160.0,19.9,3.8,0.0
2017R0702,2017,R7,2017-05-06,North Melbourne,Adelaide,22.13,13.8,Bellerive Oval,10064.0,18.5,8.4,0.0
2017R0703,2017,R7,2017-05-06,Collingwood,Carlton,8.8,12.7,M.C.G.,70279.0,19.8,9.9,0.0
2017R0704,2017,R7,2017-05-06,Port Adelaide,West Coast,12.15,15.7,Adelaide Oval,38333.0,20.1,9.1,0.0
2017R0705,2017,R7,2017-05-06,Western Bulldogs,Richmond,11.14,11.9,Docklands,46387.0,19.8,9.9,0.0
2017R0706,2017,R7,2017-05-06,Gold Coast,Geelong,18.16,15.9,Carrara,13648.0,24.1,15.9,0.0
2017R0707,2017,R7,2017-05-07,Sydney,Brisbane Lions,20.15,12.9,S.C.G.,25619.0,21.0,14.5,0.2
2017R0708,2017,R7,2017-05-07,Melbourne,Hawthorn,14.7,14.1,M.C.G.,38693.0,14.8,7.2,2.0
2017R0709,2017,R7,2017-05-07,Fremantle,Essendon,17.14,11.13,Subiaco,33393.0,30.8,11.7,0.0
2017R0801,2017,R8,2017-05-12,West Coast,Western Bulldogs,9.15,8.13,Subiaco,38934.0,22.5,8.6,0.0
2017R0802,2017,R8,2017-05-13,Hawthorn,Brisbane Lions,17.11,11.9,York Park,10553.0,17.0,7.5,7.2
2017R0803,2017,R8,2017-05-13,St Kilda,Carlton,12.13,10.6,Docklands,38014.0,15.8,8.3,0.0
2017R0804,2017,R8,2017-05-13,Greater Western Sydney,Collingwood,15.12,15.9,Sydney Showground,11360.0,22.9,12.4,0.2
2017R0805,2017,R8,2017-05-13,Essendon,Geelong,17.8,13.15,M.C.G.,57173.0,15.8,8.3,0.0
2017R0806,2017,R8,2017-05-13,Adelaide,Melbourne,9.12,17.5,Adelaide Oval,47882.0,20.6,6.4,0.0
2017R0807,2017,R8,2017-05-14,Richmond,Fremantle,10.1,10.12,M.C.G.,31200.0,14.2,6.2,0.0
2017R0808,2017,R8,2017-05-14,Gold Coast,Port Adelaide,4.14,16.14,Jiangwan Stadium,10118.0,19.16,9.79,2.26
2017R0809,2017,R8,2017-05-14,North Melbourne,Sydney,11.12,18.12,Docklands,21589.0,14.2,6.2,0.0
2017R0901,2017,R9,2017-05-19,Geelong,Western Bulldogs,16.8,12.9,Kardinia Park,30275.0,16.4,10.6,0.2
2017R0902,2017,R9,2017-05-20,St Kilda,Sydney,10.8,18.1,Docklands,29778.0,18.8,9.4,0.2
2017R0903,2017,R9,2017-05-20,Greater Western Sydney,Richmond,11.12,10.15,Sydney Showground,10677.0,23.6,16.2,9.6
2017R0904,2017,R9,2017-05-20,Brisbane Lions,Adelaide,7.18,21.14,Gabba,13802.0,25.0,16.5,3.0
2017R0905,2017,R9,2017-05-20,Collingwood,Hawthorn,13.12,11.6,M.C.G.,54252.0,18.8,9.4,0.2
2017R0906,2017,R9,2017-05-21,Essendon,West Coast,19.11,8.16,Docklands,36403.0,18.1,8.9,0.0
2017R0907,2017,R9,2017-05-21,Melbourne,North Melbourne,13.12,15.14,M.C.G.,33218.0,18.1,8.9,0.0
2017R0908,2017,R9,2017-05-21,Fremantle,Carlton,13.8,7.9,Subiaco,30313.0,18.2,12.2,17.2
2017R1001,2017,R10,2017-05-25,Geelong,Port Adelaide,11.15,11.13,Kardinia Park,24909.0,18.3,10.8,0.0
2017R1002,2017,R10,2017-05-26,Sydney,Hawthorn,11.9,12.9,S.C.G.,36221.0,19.0,9.8,0.0
2017R1003,2017,R10,2017-05-27,Western Bulldogs,St Kilda,13.12,7.8,Docklands,34685.0,17.3,11.3,0.0
2017R1004,2017,R10,2017-05-27,Melbourne,Gold Coast,18.14,13.9,Traeger Park,5072.0,27.1,13.2,0.0
2017R1005,2017,R10,2017-05-27,Richmond,Essendon,11.15,10.6,M.C.G.,85565.0,17.3,11.3,0.0
2017R1006,2017,R10,2017-05-27,Adelaide,Fremantle,20.23,6.7,Adelaide Oval,42415.0,20.3,12.4,0.0
2017R1007,2017,R10,2017-05-28,Collingwood,Brisbane Lions,18.21,13.6,M.C.G.,32750.0,14.6,9.0,8.0
2017R1008,2017,R10,2017-05-28,Carlton,North Melbourne,15.6,17.11,Docklands,32802.0,14.6,9.0,8.0
2017R1009,2017,R10,2017-05-28,West Coast,Greater Western Sydney,14.6,14.14,Subiaco,37057.0,19.4,4.9,0.0
2017R1101,2017,R11,2017-06-01,Port Adelaide,Hawthorn,13.2,7.5,Adelaide Oval,37910.0,14.5,2.9,0.0
2017R1102,2017,R11,2017-06-02,Geelong,Adelaide,13.18,10.14,Kardinia Park,30458.0,13.6,9.3,0.0
2017R1103,2017,R11,2017-06-03,Gold Coast,West Coast,11.14,11.11,Carrara,11402.0,22.5,12.7,0.0
